2	0,019906
3	0,024590
4	0,037178
5	0,083431
6	0,075820
7	0,100410
8	0,131148
9	0,189696
10	0,250587
11	0,246488
12	0,480973
13	0,331676
14	0,403983
15	0,475704
16	0,575821
17	0,569088
18	0,644030
19	1,204630
20	0,796549
21	0,888469
22	0,974242
23	1,849538
24	1,146959
25	1,349830
26	1,337534
27	1,528109
28	1,526059
29	1,634959
30	1,773133
31	1,891400
32	1,942337
33	2,742691
34	2,246788
35	2,288064
36	2,522550
37	3,138185
38	2,665115
39	3,551534
40	2,965760
41	3,157212
42	3,801829
43	3,587834
44	3,700539
45	4,190296
46	4,048609
47	4,182684
48	4,462545
49	4,931809
50	4,706984
51	5,491530
52	4,994456
53	5,220159
54	5,855699
55	5,622385
56	6,519636
57	6,378242
58	6,505877
59	6,995048
60	6,914836
61	7,178011
62	7,320284
63	7,383222
64	7,952019
65	8,268471
66	8,062089
67	8,748860
68	8,833754
69	8,811506
70	9,513792
71	9,780480
72	10,002962
73	10,636162
74	10,449100
75	11,031362
76	11,276679
77	11,007357
78	11,471352
79	11,849866
80	12,184469
81	12,970186
82	13,009414
83	12,514681
84	13,098114
85	13,699404
86	14,589923
87	14,976047
88	14,772007
89	15,038695
90	15,829388
91	15,910185
92	15,933897
93	16,447072
94	16,627107
95	16,962004
96	18,498601
97	23,588198
98	17,672778
99	20,223725
100	18,754164
